"SID","Fname","Lname","Suffix","Street","City","State","Zip"
"341-12-3984","Karry","Lilland","","115 Joe Circle","Norman","OK","73071"
"440-92-3880","Couch","Dusty","","13127 E. 15","Norman","OK","73071"
"444-55-9999","Jeffrey","Hoffer","","551Wylie","Norman","OK","73072"
"445-33-8307","Leyland","Pitt","","1620 E. Lindsey Apt. K","Norman","OK","73071"
"448-81-4357","Jacob","Ide","Jr.","1116 E. Frank","Norman","OK","73069"
"466-23-8470","Mary","Prescott","","3857 Terra Court","Norman","OK","73072"
"503-38-4751","Paget","Todd","","1520 E. Lindsey","Norman","OK","73071"
"553-78-9904","Chrissy","Watson","","4775  Tioga Circle","Norman","OK","73072"
"556-71-2308","Lynne","Tompkins","","1300 Beverly Hills St.","Norman","OK","73072"
"578-99-1238","Marlene","Funkhauser","","4457 Brookhaven Dr.","Norman","OK","73072"
"578-99-1347","Al","Funkhauser","","4457 Brookhaven Dr.","Norman","OK","73072"
"712-03-9847","Smith","Fred","","4500 Saratoga","Norman","OK","73072"
"783-54-0233","Varn","Grover","","1075 Rambling Oaks","Norman","OK","73072"
"800-43-5283","Dorothy","Liedner","","1514 E. Lindsey Apt. G","Norman","OK","73071"
"896-12-3357","Albert","Segars","Sr.","604 Night Hawk","Norman","OK","73072"
